S. No;Quotation;Author
611;Twaddle, rubbish, and gossip is what people want, not action....The secret of life is to chatter freely about all one wishes to do and how one is always being prevented--and then do nothing.;Soren Kierkegaard
612;One must see how no attack is so feared as that of laughter... because more than any other this attack isolates the one attacked.;Soren Kierkegaard
613;"The lyrical author is only concerned with his production, enjoys the pleasure of producing, often perhaps only after pain and effort; but he has nothing to do with others, he does not write in order that: in order to enlighten men or in order to help them along the right road, in order to bring about something; in short he does not write in order that.";Soren Kierkegaard,
614;I admire you, and yet at times it seems to me as if you were deranged. Or is it not a sort of mental derangement that you subject to such a degree every passion, every emotion of the heart, every mood, to the cold discipline of reflection? Is it not mental derangement to be so normal, to be a mere idea, not a human being like the rest of us, pliant and yielding, capable of being lost and of losing ourselves? Is it not mental derangement to be always awake, always sure, never obscure and dreaming?;Søren Kierkegaard,
615;A Reflexão é o anjo exterminador da espontaneidade… Se fosse verdade que a reflexão devesse controlar a inclinação amorosa, nunca haveria casamento.;Søren Kierkegaard
616;In every generation that man is a rarity who exercises such a power over himself that he can will what is not pleasant to him, that he can hold fast that truth which does not please him, hold that it is the truth although it does not please him, hold that it is the truth precisely because it does not please him, and then nevertheless, in spite of the fact that it does not please him, can commit himself to it. pp 151-2;Søren Kierkegaard,
617;"I don't feel like doing anything. I don't feel like riding the motion is too powerful; I don't feel like walking-it is too tiring; I don't feel like lying down, for either I would have to stay down, and I don't feel like doing that, or I would have to get up again, and I don't feel like doing that, either. Summa Summarum: I don't feel like doing anything.";Søren Kierkegaard,
618;"If the generations of man passed through the world like aship passing through the sea and the wind over the desert—a fruitless and avain thing; if eternal oblivion were ever greedily watching for its prey andthere existed no power strong enough to wrest it from its clutches—how emptywere life then, and how dismal!";Soren Kierkegaard,
619;So wonderful a power is remorse, so sincere is its friendship that to escape it entirely is the most terrible thing of all.;Søren Kierkegaard,
620;"It is comic that a mentally disordered man picks up any piece of granite and carries it around because he thinks it is money, and in the same way it is comic that Don Juan has 1,003 mistresses, for the number simply indicates that they have no value. Therefore, one should stay within one’s means in the use of the word ""love"".";Søren Kierkegaard
621;"I want to run out of the world, not into a monastery—I still have my strength—but in order to find myself (that is what every fool says), in order to forget myself; nor will I go where the wandering stream / in the meadow is seen.—I don't know whether this poem has been written by some poet, but I would wish that an uncompromising irony would compel some sentimental poet to write it, though in such a way that he himself always read something else. Or Echo—yes, Echo, you Grand Master of Irony!, you, who parody within yourself the most sublime and profound thing in the world—the Word which created the world—when you give only the tag end, not the fullness. Yes, Echo, avenge all the sentimental nonsense which conceals itself in the forests and meadows, in the church and the theater, and which breaks out there now and then, drowning out everything for me. I do not hear the trees in the forest telling old legends and such. No, to me they whisper all the nonsense to which they have been witness for so long, to me they plead in the name of God to be cut down in order to be freed from these nature worshipers who spout nonsense.—Yes, would that all these drivel-heads sat upon a single neck, then, like Caligula, I would know what to do.";Søren Kierkegaard,
